sizeOfCloseNeighborhood, queryLevel, queryHeight, isCorrectParent, isCorrectChild, isCorrectParentPPR, isCorrectChildPPR, cos_sim_query_pred_child, cos_sim_query_pred_parent, cos_sim_query_pred_child_ppr, cos_sim_query_pred_parent_ppr, graph_distance_query_pred_child, graph_distance_query_pred_parent, graph_distance_query_pred_child_ppr, graph_distance_query_pred_parent_ppr
5, 4, 0, False, True, True, True, N/A, 0.6947869062423706, N/A, 0.6398892402648926, N/A, 5, N/A, 4
5, 4, 0, False, True, False, True, N/A, 0.6726831197738647, N/A, 0.6769055128097534, N/A, 6, N/A, 6
5, 4, 0, False, True, False, True, N/A, 0.7423675656318665, N/A, 0.7753783464431763, N/A, 5, N/A, 7
8, 5, 0, False, True, False, True, N/A, 0.5897551774978638, N/A, 0.5897551774978638, N/A, 8, N/A, 8
8, 5, 0, False, True, False, True, N/A, 0.7037321925163269, N/A, 0.7037322521209717, N/A, 6, N/A, 6
8, 5, 0, False, True, False, True, N/A, 0.6793527603149414, N/A, 0.707889974117279, N/A, 6, N/A, 6
10, 4, 0, False, True, False, True, N/A, 0.8276934027671814, N/A, 0.8207119703292847, N/A, 3, N/A, 3
7, 4, 0, True, True, True, True, N/A, 0.8647620677947998, N/A, 0.8309371471405029, N/A, 6, N/A, 6
9, 4, 0, False, True, False, True, N/A, 0.8783111572265625, N/A, 0.8783111572265625, N/A, 7, N/A, 7
15, 6, 0, False, True, False, True, N/A, 0.8208180665969849, N/A, 0.8358463048934937, N/A, 5, N/A, 5
80, 5, 0, False, True, False, True, N/A, 0.741165041923523, N/A, 0.7300616502761841, N/A, 4, N/A, 4
80, 5, 0, False, True, False, True, N/A, 0.6981885433197021, N/A, 0.6981885433197021, N/A, 7, N/A, 7
80, 5, 0, False, True, False, True, N/A, 0.7866000533103943, N/A, 0.7866001129150391, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.7827643752098083, N/A, 0.7712372541427612, N/A, 6, N/A, 6
80, 5, 0, False, False, False, False, N/A, 0.7551850080490112, N/A, 0.7551850080490112, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.6846233606338501, N/A, 0.7499692440032959, N/A, 7, N/A, 7
15, 6, 0, False, True, False, True, N/A, 0.7667104005813599, N/A, 0.7667104005813599, N/A, 7, N/A, 7
80, 5, 0, False, True, False, True, N/A, 0.6649606227874756, N/A, 0.6535800695419312, N/A, 5, N/A, 4
80, 5, 0, True, True, True, True, N/A, 0.7723884582519531, N/A, 0.7906991243362427, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.48074424266815186, N/A, 0.46026331186294556, N/A, 6, N/A, 6
80, 5, 0, False, False, False, False, N/A, 0.6088038086891174, N/A, 0.6088037490844727, N/A, 5, N/A, 5
80, 5, 0, False, True, True, True, N/A, 0.806658923625946, N/A, 0.7586429119110107, N/A, 6, N/A, 7
80, 5, 0, True, True, True, True, N/A, 0.784715473651886, N/A, 0.8071454167366028, N/A, 7, N/A, 7
15, 6, 0, False, True, False, True, N/A, 0.7508674263954163, N/A, 0.7508673667907715, N/A, 8, N/A, 8
80, 5, 0, False, True, False, True, N/A, 1.0, N/A, 1.0, N/A, 4, N/A, 6
12, 6, 0, False, True, False, True, N/A, 0.8503878116607666, N/A, 0.8503878116607666, N/A, 8, N/A, 8
80, 5, 0, True, True, True, True, N/A, 0.7298736572265625, N/A, 0.7422494292259216, N/A, 8, N/A, 8
15, 6, 0, False, True, False, True, N/A, 0.7990059852600098, N/A, 0.799005925655365, N/A, 7, N/A, 7
15, 6, 0, False, True, False, True, N/A, 0.793388843536377, N/A, 0.7883493304252625, N/A, 7, N/A, 7
12, 6, 0, False, True, False, True, N/A, 0.7327820062637329, N/A, 0.7263430953025818, N/A, 7, N/A, 7
80, 5, 0, False, True, False, True, N/A, 0.6306513547897339, N/A, 0.619509220123291, N/A, 4, N/A, 6
80, 5, 0, True, True, True, True, N/A, 0.7379277944564819, N/A, 0.739378809928894, N/A, 7, N/A, 7
15, 6, 0, True, True, True, True, N/A, 0.7436047792434692, N/A, 0.7970158457756042, N/A, 7, N/A, 7
15, 6, 0, False, True, False, True, N/A, 0.8322949409484863, N/A, 0.8322948813438416, N/A, 8, N/A, 8
80, 5, 0, False, True, False, True, N/A, 0.7299680709838867, N/A, 0.7225932478904724, N/A, 6, N/A, 6
80, 5, 0, True, True, True, True, N/A, 0.7044960260391235, N/A, 0.7047106027603149, N/A, 7, N/A, 7
80, 5, 0, False, True, False, True, N/A, 0.6178914308547974, N/A, 0.5877293348312378, N/A, 7, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.7558242082595825, N/A, 0.7558242082595825, N/A, 6, N/A, 6
80, 5, 0, True, True, True, True, N/A, 0.7252898216247559, N/A, 0.7252898216247559, N/A, 5, N/A, 5
12, 6, 0, False, True, False, True, N/A, 0.7002426385879517, N/A, 0.7002426385879517, N/A, 7, N/A, 7
80, 5, 0, False, True, False, True, N/A, 0.8139828443527222, N/A, 0.8139827847480774, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.5703402161598206, N/A, 0.5703402757644653, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.803471565246582, N/A, 0.803471565246582, N/A, 6, N/A, 6
